,OverallQual,SalePrice,YearBuilt,YearRemodAdd,MasVnrArea,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,Neighborhood_NridgHt,ExterQual_Gd,Foundation_PConc,BsmtFinType1_GLQ
0,7,208500,2003,2003,196,856,856,1710,2,8,0,2003,2,548,0,1,1,1
1,6,181500,1976,1976,0,1262,1262,1262,2,6,1,1976,2,460,0,0,0,0
2,7,223500,2001,2002,162,920,920,1786,2,6,1,2001,2,608,0,1,1,1
3,7,140000,1915,1970,0,756,961,1717,1,7,1,1998,3,642,0,0,0,0
4,8,250000,2000,2000,350,1145,1145,2198,2,9,1,2000,3,836,0,1,1,1
5,5,143000,1993,1995,0,796,796,1362,1,5,0,1993,2,480,0,0,0,1
6,8,307000,2004,2005,186,1686,1694,1694,2,7,1,2004,2,636,0,1,1,1
7,7,200000,1973,1973,240,1107,1107,2090,2,7,2,1973,2,484,0,0,0,0
8,7,129900,1931,1950,0,952,1022,1774,2,8,2,1931,2,468,0,0,0,0
9,5,118000,1939,1950,0,991,1077,1077,1,5,2,1939,1,205,0,0,0,1
10,5,129500,1965,1965,0,1040,1040,1040,1,5,0,1965,1,384,0,0,0,0
11,9,345000,2005,2006,286,1175,1182,2324,3,11,2,2005,3,736,1,0,1,1
12,5,144000,1962,1962,0,912,912,912,1,4,0,1962,1,352,0,0,0,0
13,7,279500,2006,2007,306,1494,1494,1494,2,7,1,2006,3,840,0,1,1,0
14,6,157000,1960,1960,212,1253,1253,1253,1,5,1,1960,1,352,0,0,0,0
15,7,132000,1929,2001,0,832,854,854,1,5,0,1991,2,576,0,0,0,0
16,6,149000,1970,1970,180,1004,1004,1004,1,5,1,1970,2,480,0,0,0,0
17,4,90000,1967,1967,0,0,1296,1296,2,6,0,1967,2,516,0,0,0,0
18,5,159000,2004,2004,0,1114,1114,1114,1,6,0,2004,2,576,0,0,1,1
19,5,139000,1958,1965,0,1029,1339,1339,1,6,0,1958,1,294,0,0,0,0
20,8,325300,2005,2006,380,1158,1158,2376,3,9,1,2005,3,853,1,1,1,0
21,7,139400,1930,1950,0,637,1108,1108,1,6,1,1930,1,280,0,0,1,0
22,8,230000,2002,2002,281,1777,1795,1795,2,7,1,2002,2,534,0,1,1,0
23,5,129900,1976,1976,0,1040,1060,1060,1,6,1,1976,2,572,0,0,1,1
24,5,154000,1968,2001,0,1060,1060,1060,1,6,1,1968,1,270,0,0,0,0
25,8,256300,2007,2007,640,1566,1600,1600,2,7,1,2007,3,890,1,1,1,0
26,5,134800,1951,2000,0,900,900,900,1,5,0,2005,2,576,0,0,0,0
27,8,306000,2007,2008,200,1704,1704,1704,2,7,1,2008,3,772,1,1,1,1
28,5,207500,1957,1997,0,1484,1600,1600,1,6,2,1957,1,319,0,0,0,0
29,4,68500,1927,1950,0,520,520,520,1,4,0,1920,1,240,0,0,0,0
30,4,40000,1920,1950,0,649,649,1317,1,6,0,1920,1,250,0,0,0,0
31,5,149350,1966,2006,0,1228,1228,1228,1,6,0,1966,1,271,0,0,0,0
32,8,179900,2007,2007,0,1234,1234,1234,2,7,0,2007,2,484,0,1,1,0
33,5,165500,1959,1959,0,1398,1700,1700,1,6,1,1959,2,447,0,0,0,0
34,9,277500,2005,2005,246,1561,1561,1561,2,6,1,2005,2,556,1,0,1,1
35,8,309000,2004,2005,132,1117,1132,2452,3,9,1,2004,3,691,1,1,1,0
36,5,145000,1994,1995,0,1097,1097,1097,1,6,0,1995,2,672,0,0,1,0
37,5,153000,1954,1990,650,1297,1297,1297,1,5,1,1954,2,498,0,0,0,0
38,5,109000,1953,2007,0,1057,1057,1057,1,5,0,1953,1,246,0,0,0,1
39,4,82000,1955,1955,0,0,1152,1152,2,6,0,1927,0,0,0,0,1,0
40,6,160000,1965,1965,101,1088,1324,1324,2,6,1,1965,2,440,0,0,0,0
41,5,170000,1959,1959,0,1350,1328,1328,1,5,2,1959,1,308,0,0,0,0
42,5,144000,1983,1983,0,840,884,884,1,5,0,1983,2,504,0,0,0,0
43,5,130250,1975,1980,0,938,938,938,1,5,0,1977,1,308,0,0,0,0
44,5,141000,1959,1959,0,1150,1150,1150,1,6,0,1959,1,300,0,0,0,0
45,9,319900,2005,2005,412,1752,1752,1752,2,6,1,2005,2,576,1,0,1,1
46,7,239686,2003,2003,0,1434,1518,2149,1,6,1,2003,2,670,0,1,1,1
47,8,249700,2006,2006,0,1656,1656,1656,2,7,0,2006,3,826,0,1,1,1
48,4,113000,1920,2008,0,736,736,1452,2,8,0,1927,0,0,0,0,0,0
49,5,127000,1966,1966,0,955,955,955,1,6,0,1966,1,386,0,0,0,0
50,6,177000,1997,1997,0,794,794,1470,2,6,0,1997,2,388,0,0,1,1
51,6,114500,1934,1950,0,816,816,1176,1,6,1,1985,2,528,0,0,1,0
52,5,110000,1963,1963,0,816,816,816,1,5,0,1963,2,516,0,0,0,0
53,9,385000,1981,1987,0,1842,1842,1842,0,5,1,1981,3,894,0,1,0,1
54,5,130000,1955,1955,0,384,1360,1360,1,6,1,1962,2,572,0,0,0,0
55,6,180500,1964,1964,272,1425,1425,1425,2,7,1,1964,2,576,0,0,0,0
56,8,172500,1999,2000,456,970,983,1739,2,7,0,1999,2,480,0,1,1,1
57,7,196500,2004,2004,0,860,860,1720,2,7,0,2004,2,565,0,1,1,0
58,10,438780,2006,2006,1031,1410,1426,2945,3,10,1,2006,3,641,0,0,1,0
59,5,124900,1972,1972,0,780,780,780,1,4,0,1973,1,352,0,0,0,0
60,6,158000,2004,2004,0,1158,1158,1158,1,5,0,2006,2,576,0,0,1,0
